,Name,Street name,Street number,Neighborhood name,District name,Zip code,Latitud,Longitud
1980,"C Pare Mariana, 14",C Pare Mariana,14,la Vall d'Hebron,Horta-Guinardó,8035,41.4307083955636,2.14849265038521
1981,"C Clot, 68",C Clot,68,el Clot,Sant Martí,8018,41.4081582736172,2.18841516226113
1983,"C Consell de Cent, 216",C Consell de Cent,216,l'Antiga Esquerra de l'Eixample,Eixample,8011,41.3858588872504,2.15881766308101
1984,"C Badajoz, 35",C Badajoz,35,el Poblenou,Sant Martí,8005,41.3962127849966,2.19848224473905
1985,"C Joan Güell, 175",C Joan Güell,175,les Corts,Les Corts,8028,41.3838593564069,2.13103788927643
1986,"C Sicília, 276",C Sicília,276,la Sagrada Família,Eixample,8013,41.4008949242827,2.17451128393106
1987,"C Gran de Gràcia, 135",C Gran de Gràcia,135,la Vila de Gràcia,Gràcia,8012,41.4021879792594,2.15275242431952
1988,"C Samsó, 14",C Samsó,14,la Vila de Gràcia,Gràcia,8012,41.4011397577178,2.16075755454336
1989,"Trvs Sant Antoni, 10",Trvs Sant Antoni,10,la Vila de Gràcia,Gràcia,8012,41.402546332837,2.15440701595929
1991,"C Comte d'Urgell, 212",C Comte d'Urgell,212,l'Antiga Esquerra de l'Eixample,Eixample,8036,41.3884445517167,2.15003494825152
1992,"C Consell de Cent, 275",C Consell de Cent,275,l'Antiga Esquerra de l'Eixample,Eixample,8011,41.3877216808002,2.16110203531102
1993,"Pg Taulat, 205",Pg Taulat,205,el Poblenou,Sant Martí,8005,41.4026423434897,2.2097712473003
1995,"C Roc Boronat, 124",C Roc Boronat,124,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.4029406926128,2.19448034229062
1996,"C Andrade, 198",C Andrade,198,Sant Martí de Provençals,Sant Martí,8020,41.4178568382389,2.20349098220301
1997,"C Mallorca, 653",C Mallorca,653,Navas,Sant Andreu,8027,41.4142181147991,2.18956795177687
1998,"c. Elisa Moragas, 36",Carrer d'Elisa Moragas i Badia,36,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8017,41.4158658314699,2.10175448604633
2000,"C Lluís el Piadós, 1",C Lluís el Piadós,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3898200848312,2.1790142352949
2001,"C Ramon Turró, 71",C Ramon Turró,71,la Vila Olímpica del Poblenou,Sant Martí,8005,41.3944330281118,2.19551262742942
2002,"C Creu Coberta, 75",C Creu Coberta,75,Hostafrancs,Sants-Montjuïc,8014,41.3751480183681,2.14537525749478
2003,"C Numància, 181",C Numància,181,les Corts,Les Corts,8034,41.3905730567175,2.13152574852568
2004,"G.V. Corts Catalanes, 222",G.V. Corts Catalanes,222,la Font de la Guatlla,Sants-Montjuïc,8004,41.369689076811,2.14233389860684
2005,"C Provença, 334",C Provença,334,la Dreta de l'Eixample,Eixample,8037,41.3973944272155,2.16504876074457
2006,"G.V. Corts Catalanes, 192",G.V. Corts Catalanes,192,la Font de la Guatlla,Sants-Montjuïc,8038,41.3686574350892,2.14096195783514
2007,"C Còrsega, 423",C Còrsega,423,la Vila de Gràcia,Gràcia,8037,41.400787107406,2.16486960338372
2008,"Pg Fabra i Puig, 125",Pg Fabra i Puig,125,Vilapicina i la Torre Llobeta,Nou Barris,8016,41.4301574167051,2.18130247799889
2009,"C Guitard, 43",C Guitard,43,les Corts,Les Corts,8014,41.3827663837446,2.13734710160811
2010,"C Consell de Cent, 486",C Consell de Cent,486,el Fort Pienc,Eixample,8013,41.4003617108245,2.17815224620805
2011,"Pg Sant Joan, 111",Pg Sant Joan,111,la Dreta de l'Eixample,Eixample,8037,41.3999698597742,2.16865601621333
2012,"C Girona, 141",C Girona,141,la Dreta de l'Eixample,Eixample,8037,41.3985368440171,2.16603841090621
2013,"Pl Catalunya, 12",Pl Catalunya,12,la Dreta de l'Eixample,Eixample,8002,41.3878522752368,2.17055392381903
2015,"C Mallorca, 275",C Mallorca,275,la Dreta de l'Eixample,Eixample,8008,41.39478131295,2.16371146865925
2016,"C Bruc, 63",C Bruc,63,la Dreta de l'Eixample,Eixample,8009,41.3936728278167,2.1702784512214
2017,"C Carme, 4",C Carme,4,el Raval,Ciutat Vella,8001,41.3828402969899,2.17121348186063
2018,"C Constança, 7",C Constança,7,les Corts,Les Corts,8029,41.3878030724886,2.13604974267452
2019,"Pg Fabra i Puig, 116",Pg Fabra i Puig,116,Sant Andreu,Sant Andreu,8016,41.4302864752038,2.18352184858524
2020,"C Biscaia, 382",C Biscaia,382,Navas,Sant Andreu,8027,41.4166366634129,2.18741279800567
2022,"C Or, 8",C Or,8,la Vila de Gràcia,Gràcia,8012,41.4038963452657,2.15593576358587
2023,"Pl Vila de Gràcia, 10",Pl Vila de Gràcia,10,la Vila de Gràcia,Gràcia,8012,41.4004442458368,2.15756950295141
